prefix_length;1_decl_p_prepTime;1_decl_p_totalTime;1_decl_g_prepTime;1_decl_g_totalTime;3_decl_p_prepTime;3_decl_p_totalTime;3_decl_g_prepTime;3_decl_g_totalTime;5_decl_p_prepTime;5_decl_p_totalTime;5_decl_g_prepTime;5_decl_g_totalTime;7_decl_p_prepTime;7_decl_p_totalTime;7_decl_g_prepTime;7_decl_g_totalTime
0;18.536218;18.64;10.037209;10.314;18.981119;19.09;11.893543999999999;12.228;19.924646000000003;20.35;15.426442;15.92;20.709063999999998;21.43;18.719383;19.496
1 (1 violating);19.160791;19.27;10.743853999999999;11.033;19.787689;19.9;12.719498999999999;13.07;20.673744;21.11;15.743967000000001;16.249000000000002;21.458917;22.2;19.330213999999998;20.194
3 (2 violating);20.680803;20.8;11.535694;11.854;21.327941;21.45;13.916747999999998;14.323;22.254696;22.71;16.781655;17.346;23.346222;24.07;20.853209999999997;21.773
4 (3 violating);21.486976;21.61;11.706949;12.039;22.100913000000002;22.23;13.866318999999999;14.288;22.914047999999998;23.38;17.520616;18.101;23.967095;24.71;22.072691;23.008000000000003
6 (4 violating);23.541414000000003;23.67;11.951042000000001;12.289000000000001;24.374986;24.51;14.369665999999999;14.832;25.694175;26.17;19.438654;20.073999999999998;26.618469;27.35;25.85434;26.902
8 (6 violating);25.157558;25.3;12.599803000000001;12.967;26.207129000000002;26.35;14.486366;14.982;27.28284;27.78;19.993451;20.662;28.288874;29.05;26.29259;27.380000000000003
