prefix_length;1_decl_p_prepTime;1_decl_p_totalTime;1_decl_g_prepTime;1_decl_g_totalTime;3_decl_p_prepTime;3_decl_p_totalTime;3_decl_g_prepTime;3_decl_g_totalTime;5_decl_p_prepTime;5_decl_p_totalTime;5_decl_g_prepTime;5_decl_g_totalTime;7_decl_p_prepTime;7_decl_p_totalTime;7_decl_g_prepTime;7_decl_g_totalTime
0;47.987927;48.39;26.598882999999997;27.137999999999998;50.67449;51.78;28.621547;29.241999999999997;53.722190000000005;56.27;34.682047;35.522;55.856480000000005;61.27;42.740809999999996;43.826
1 (1 violating);49.311640999999995;49.73;26.71666;27.268;51.35608;52.5;29.157023000000002;29.8;54.74744;57.33;34.773979;35.631;56.964830000000006;62.45;42.825289999999995;43.934
3 (2 violating);50.861202999999996;51.29;26.834349;27.407;52.070370000000004;53.17;29.751341;30.412;55.307500000000005;57.84;35.089212;35.993;59.2273;64.77;44.990100000000005;46.152
4 (3 violating);51.734345;52.14;27.215486;27.766;53.50663;54.69;31.314304;31.989;56.92749;59.48;35.336394;36.248000000000005;59.39913;64.97;45.2862;46.461
6 (4 violating);54.822853;55.25;29.519911;30.098;57.086448;58.04;33.015599;33.719;59.61851;61.62;38.371359;39.312;63.11535000000001;67.45;47.02491;48.201
8 (6 violating);56.284942;56.72;30.458514;31.073999999999998;59.043541;60.01;33.423879;34.145;61.80456;63.96;39.041139;40.009;64.93813;69.22;47.48653;48.713
